,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,149,ALEJA GRUNWALDZKA ,517 (w pobliżu),kapliczka przydrożna,692,,,,,
,150,ALEJA GRUNWALDZKA ,519,kamienica,,,,,,
,151,ALEJA GRUNWALDZKA ,520,"zespół młyna VI ( dom mieszkalny w zespole młyna VI, Młyn VI, założenie stawu wraz z zielenią przy zespole mlyna VI)",,,,,,
,152,ALEJA GRUNWALDZKA ,521,kamienica,,,,,,
,153,ALEJA GRUNWALDZKA ,523,dom,,,,,,
,154,ALEJA GRUNWALDZKA ,528,kamienica,,,,,,
,155,ALEJA GRUNWALDZKA ,529,"willa ""Tannenheim"" z ogrodem",1102,,,,,
,156,ALEJA GRUNWALDZKA ,529 A,"budynek obok willi ""Tannenheim""",,,,,,
,157,ALEJA GRUNWALDZKA ,530,kamienica,,,,,,
,158,ALEJA GRUNWALDZKA ,532,kamienica,,,,,,
,159,ALEJA GRUNWALDZKA ,533,kamienica,,,,,,
,160,ALEJA GRUNWALDZKA ,535,zespół  fabryki mydła - dom mieszkalny pracowników fabryki,1576,,,,,
,161,ALEJA GRUNWALDZKA ,537,zespół  fabryki mydła - budynek produkcyjno-mieszkalny,1576,,,,,
,162,ALEJA GRUNWALDZKA ,541,kamienica,,,,,,
,163,ALEJA GRUNWALDZKA ,547,dom,,,,,,
,164,ALEJA GRUNWALDZKA ,549,dom,,,,,,
,165,ALEJA GRUNWALDZKA ,551,dom,,,,,,
,166,ALEJA GRUNWALDZKA ,555,dom,,,,,,
,167,ALEJA GRUNWALDZKA ,559,dom,,,,,,
,168,ALEJA GRUNWALDZKA ,561,kamienica,,,,,,
,169,ALEJA GRUNWALDZKA ,563 A,kamienica,,,,,,
,170,ALEJA GRUNWALDZKA ,565,kamienica,,,,,,
,171,ALEJA GRUNWALDZKA ,567,kamienica,,,,,,
,172,ALEJA GRUNWALDZKA ,580,kamienica,,,,,,
,173,ALEJA GRUNWALDZKA ,582,kamienica,,,,,,
,174,ALEJA GRUNWALDZKA ,584,kamienica,,,,,,
,175,ALEJA GRUNWALDZKA ,586,kamienica,,,,,,
,176,ALEJA GRUNWALDZKA ,586 A,kamienica,,,,,,
,177,ALEJA GRUNWALDZKA ,590,kamienica,,,,,,
,178,ALEJA GRUNWALDZKA ,590 A,kamienica,,,,,,
,179,ALEJA GRUNWALDZKA ,596,kamienica,,,,,,
,180,ALEJA GRUNWALDZKA ,597,kamienica,,,,,,
,181,ALEJA GRUNWALDZKA ,598,kamienica,,,,,,
,182,ALEJA GRUNWALDZKA ,600,kamienica,,,,,,
,183,ALEJA GRUNWALDZKA ,601,kamienica,,,,,,
,184,ALEJA GRUNWALDZKA ,601 A,kamienica,,,,,,
,185,ALEJA GRUNWALDZKA ,602 A/B/C,kamienica,,,,,,
,186,ALEJA GRUNWALDZKA ,604 A/B,kamienica,,,,,,
,187,ALEJA GRUNWALDZKA ,606 A/B,kamienica,,,,,,
,188,ALEJA GRUNWALDZKA ,608 A/B,kamienica,,,,,,
,189,ALEJA GRUNWALDZKA ,610 A/B ,kamienica,,,,,,
,190,ALEJA GRUNWALDZKA ,612 A/B/C,kamienica,,,,,,
,191,ALEJA GRUNWALDZKA ,,Zabudowa Grunwaldzkiej Dzielnicy Mieszkaniowej,,,,,,
,192,ALEJA LEGIONÓW,"01 A ,B,C",dom (Pl.Komorowskiego1),,,,,,
,193,ALEJA LEGIONÓW,06/08/10/12/14,zespół domów,,,,,,
,194,ALEJA LEGIONÓW,7,szkoła ,,,,,,
,195,ALEJA LEGIONÓW,9,budynek szkoły,,,,,,
,196,ALEJA LEGIONÓW,11 /11 A,budynek szkoły,,,,,,
,197,ALEJA LEGIONÓW,11,budynek szkoły,,,,,,
,198,ALEJA LEGIONÓW,13,kościół p.w. św. Stanisława Biskupa,,,,,,
,199,ALEJA LEGIONÓW,13,dom,,,,,,
,200,ALEJA LEGIONÓW,15/17/19/21/23/25/27/29/31,zespół domów,,,,,,
,201,ALEJA LEGIONÓW,16/18/20/22,budynek mieszkalny,,,,,,
,202,ALEJA LEGIONÓW,24/26/28/30,budynek mieszkalny,,,,,,
,203,ALEJA LEGIONÓW,32/34/36/38/40/42/44/46/48/50/52/54/56,zespół domów,,,,,,
,204,ALEJA LEGIONÓW,58 /60/62/64/66,zespół domów,,,,,,
,205,ALEJA LEGIONÓW,68 /70/72,zespół domów,,,,,,
,206,ALEJA WOJSKA POLSKIEGO,01/3/5,budynek mieszkalno-usługowy,,,,,,
,207,ALEJA WOJSKA POLSKIEGO,07,dom,,,,,,
,208,ALEJA WOJSKA POLSKIEGO,08/8A/10/14/14 A,zespół zabudowy,,,,,,
,209,ALEJA WOJSKA POLSKIEGO,15/17/19,zespół zabudowy,,,,,,
,210,ALEJA WOJSKA POLSKIEGO,16/18,zespół zabudowy,,,,,,
,211,ALEJA WOJSKA POLSKIEGO,20/22/24,zespół zabudowy,,,,,,
,212,ALEJA WOJSKA POLSKIEGO,21/23/25/27,zespół zabudowy,,,,,,
,213,ALEJA WOJSKA POLSKIEGO,26/28/30/32,zespół zabudowy,,,,,,
,214,ALEJA WOJSKA POLSKIEGO,29,kamienica,,,,,,
,215,ALEJA WOJSKA POLSKIEGO,40/42/44,zespół zabudowy,,,,,,
,216,ALEJA WOJSKA POLSKIEGO,44 A/44 B,zespół zabudowy,,,,,,
