,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,1442,DZIEWANOWSKIEGO Jana,5,dom,,,,,,
,1443,DZIEWANOWSKIEGO Jana,6,dom,,,,,,
,1444,DZIEWANOWSKIEGO Jana,7,dom,,,,,,
,1445,DZIEWANOWSKIEGO Jana,8,dom,,,,,,
,1446,DZIEWANOWSKIEGO Jana,9,"dom, weranda",,,,,,
,1447,DZIEWANOWSKIEGO Jana,9 A,dom,,,,,,
,1448,DZIEWANOWSKIEGO Jana,10,"dom, ",,,,,,
,1449,ELBLĄSKA,59,dom mieszkalny;usługi;sklep,,,,,,
,1450,ELBLĄSKA,61,budynek w głębi,,,,,,
,1451,ELBLĄSKA,63,dom  ,,,,,,
,1452,ELBLĄSKA,68,dom  ,,,,,,
,1453,ELBLĄSKA,68 A,dom  ,,,,,,
,1454,ELBLĄSKA,89,dom,,,,,,
,1455,ELBLĄSKA,,BRAMA ŻUŁAWSKA,443,,,,,
,1456,ELŻBIETAŃSKA,9/10,"klasztor karmelitów-ob.misjonarzy oblatów, kościół pw. Sw. Józefa, brama",771,,,,,
,1457,ELŻBIETAŃSKA,3,Dom Opatów Pelplińskich,416,,,,,
,1458,ELŻBIETAŃSKA,1,Zespół koscioła i szpitala św. Elżbiety,545,,,,,
,1459,FAHRENHEITA Daniela,1,dom,,,,,,
,1460,FAHRENHEITA Daniela,2,dom,,,,,,
,1461,FAHRENHEITA Daniela,3,dom,,,,,,
,1462,FAHRENHEITA Daniela,4,willa,,,,,,
,1463,FAHRENHEITA Daniela,5,dom,,,,,,
,1464,FAHRENHEITA Daniela,6,dom,,,,,,
,1465,FALCK POLONUSA Jeremiasza,04,dom,,,,,,
,1466,FALCK POLONUSA Jeremiasza,06,dom,,,,,,
,1467,FALCK POLONUSA Jeremiasza,08,dom,,,,,,
,1468,FALCK POLONUSA Jeremiasza,09,dom,,,,,,
,1469,FALCK POLONUSA Jeremiasza,11,dom,,,,,,
,1470,FALCK POLONUSA Jeremiasza,12/14,dom,,,,,,
,1471,FALCK POLONUSA Jeremiasza,16,dom,,,,,,
,1472,FALCK POLONUSA Jeremiasza,18,dom,,,,,,
,1473,FALCK POLONUSA Jeremiasza,20,dom,,,,,,
,1474,FISZERA ge. Józefa,5/6,dom,,,,,,
,1475,FISZERA ge. Józefa,7/8,dom,,,,,,
,1476,FISZERA ge. Józefa,12,dom,,,,,,
,1477,FISZERA ge. Józefa,13A/13B,willa,,,,,,
,1478,FITELBERGA Grzegorza,1,dom,,,,,,
,1479,FITELBERGA Grzegorza,2,dom,,,,,,
,1480,FITELBERGA Grzegorza,3,dom,,,,,,
,1481,FITELBERGA Grzegorza,4,dom,,,,,,
,1482,FITELBERGA Grzegorza,5,dom,,,,,,
,1483,FITELBERGA Grzegorza,6,dom,,,,,,
,1484,FITELBERGA Grzegorza,7,dom,,,,,,
,1485,FITELBERGA Grzegorza,8,dom,,,,,,
,1486,FITELBERGA Grzegorza,10,dom,,,,,,
,1487,FLORIAŃSKA,1,dom,,,,,,
,1488,FLORIAŃSKA,3,dom,,,,,,
,1489,FREDRY Aleksandra,1,dom,,,,,,
,1490,FREDRY Aleksandra,2,dom,,,,,,
,1491,FREDRY Aleksandra,3,dom,,,,,,
,1492,FREDRY Aleksandra,4,dom,,,,,,
,1493,FREDRY Aleksandra,5,dom,,,,,,
,1494,FREDRY Aleksandra,6,dom,,,,,,
,1495,FREDRY Aleksandra,7,dom,,,,,,
,1496,FREDRY Aleksandra,8,dom,,,,,,
,1497,FREDRY Aleksandra,9,dom,,,,,,
,1498,FREDRY Aleksandra,10,dom,,,,,,
,1499,FREDRY Aleksandra,11,dom,,,,,,
,1500,FREDRY Aleksandra,12,dom,,,,,,
,1501,FREDRY Aleksandra,13,dom,,,,,,
,1502,FREDRY Aleksandra,14,dom,,,,,,
,1503,FREDRY Aleksandra,15,dom,,,,,,
,1504,FREDRY Aleksandra,16,dom,,,,,,
,1505,FREDRY Aleksandra,17,dom,,,,,,
,1506,FREDRY Aleksandra,18,dom,,,,,,
,1507,FREDRY Aleksandra,19,dom,,,,,,
,1508,FREDRY Aleksandra,20,dom,,,,,,
,1509,FREDRY Aleksandra,21,dom,,,,,,
,1510,FREDRY Aleksandra,22,dom,,,,,,
,1511,FREDRY Aleksandra,23,dom,,,,,,
,1512,FREDRY Aleksandra,24,dom,,,,,,
,1513,FREDRY Aleksandra,25,dom,,,,,,
,1514,FREDRY Aleksandra,26,dom,,,,,,
,1515,FUNDACYJNA,7,dom,,,,,,
,1516,FUNDACYJNA,8,dom,,,,,,
,1517,GARBARY,1,dom,615,,,,,
,1518,GARBARY,2 (2/4),dom,,,,,,
,1519,GARBARY,3 (2/4),kamienica,,,,,,
,1520,GARBARY,4 (2/4),kamienica,,,,,,
,1521,GARBARY,5,dom,,,,,,
,1522,GARBARY,6 (6/7),dom,,,,,,
,1523,GARBARY,7 (6/7),dom,,,,,,
,1524,GARBARY,8,"dom, usługi",,,,,,
,1525,GARBARY,9,"dom, usługi",,,,,,
,1526,GARBARY,10 (10/11),dom,,,,,,
,1527,GARBARY,11 (10/11),dom,,,,,,
,1528,GARBARY,12,dom,,,,,,
,1529,GARBARY,13,dom,,,,,,
,1530,GARBARY,14,d0m,,,,,,
,1531,GAZOWNICZA,7 B,kamienica,,,,,,
,1532,GDAŃSK ,,uklad urbanistyczny miasta Gdańska,15,,,,,
,1533,GDAŃSK ,,mury obronne Głównego Miasta Gdańska,135,,,,,
,1534,PODWALE STAROMIEJSKIE,51,Kanał na Stępce,986,54.3525601,18.6605239,,,
,1535,GDAŃSKA,32,kamienica,,,,,,
,1536,GDAŃSKA,2,budynek mieszkalny,,,,,,
,1537,GDAŃSKA,4,budynek mieszkalny,,,,,,
,1538,GDAŃSKA,6,budynek mieszkalny,,,,,,
,1539,GDAŃSKA,8,budynek mieszkalny,,,,,,
,1540,GDAŃSKA,15,budynek mieszkalny,,,,,,
,1541,GDAŃSKA,17,budynek mieszkalny,,,,,,
,1542,GDAŃSKA,17A,budynek mieszkalny,,,,,,
,1543,GDAŃSKA,21,budynek mieszkalny,,,,,,
,1544,GDYŃSKICH KOSYNIERÓW,2,kamienica,,,,,,
,1545,GDYŃSKICH KOSYNIERÓW,3,kamienica,,,,,,
,1546,GDYŃSKICH KOSYNIERÓW,4,kamienica,,,,,,
,1547,GDYŃSKICH KOSYNIERÓW,5,kamienica,,,,,,
,1548,GDYŃSKICH KOSYNIERÓW,6,kamienica,,,,,,4.3524662,18.6583352
,1549,GDYŃSKICH KOSYNIERÓW,9,kamienica,,,,,,
,1550,GDYŃSKICH KOSYNIERÓW,10,kamienica,,,,,,
,1551,GIEŁGUDA gen. Antoniego,21,kamienica,,,,,,
,1552,GIEŁGUDA gen. Antoniego,23,kamienica,,,,,,
,1553,GIEŁGUDA gen. Antoniego,27,kamienica,,,,,,
,1554,GLINKI Michała,1,dom,,,,,,
,1555,GLINKI Michała,2,dom,,,,,,
,1556,GLINKI Michała,3,dom,,,,,,
,1557,GLINKI Michała,5,dom,,,,,,
,1558,GLINKI Michała,6,dom,,,,,,
,1559,GLINKI Michała,7,dom,,,,,,
,1560,GLINKI Michała,8,dom,,,,,,
,1561,GLINKI Michała,9,dom,,,,,,
,1562,GLINKI Michała,11,dom,,,,,,
,1563,GLINKI Michała,13,dom,,,,,,
,1564,GLINKI Michała,15,dom,,,,,,
,1565,GLINKI Michała,17,dom,,,,,,
,1566,GLINKI Michała,19,dom,,,,,,
,1567,GŁĘBOKA,1,kościół pw. MB Bolesnej,,,,,,
,1568,GŁĘBOKA,1,plebania przy kościele pw. MB Bolesnej,,,,,,
,1569,GŁĘBOKA,11,dom,,,,,,
,1570,GŁUCHA,1,"dom, usługi",,,,,,
,1571,GŁUCHA,2,dom,,,,,,
,1572,GŁUCHA,3,dom,,,,,,
,1573,GŁUCHA,4,dom,,,,,,
,1574,GŁUCHA,5,dom,,,,,,
,1575,GŁUCHA,6,dom,,,,,,
,1576,GŁUCHA,14,dom,,,,,,
,1577,GŁUCHA,18,dom,,,,,,
,1578,GŁUCHA,22,dom,,,,,,
,1579,GŁUCHA,25,dom,,,,,,
,1580,GŁUCHA,26,dom,,,,,,
,1581,GŁUCHA,27,dom,,,,,,
,1582,GOMULICKIEGO Wiktora,2,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1583,GOMULICKIEGO Wiktora,3,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1584,GOMULICKIEGO Wiktora,4,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1585,GOMULICKIEGO Wiktora,5,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1586,GOMULICKIEGO Wiktora,7 A,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1587,GOMULICKIEGO Wiktora,7 B,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1588,GOMULICKIEGO Wiktora,8,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1589,GOMULICKIEGO Wiktora,9,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1590,GOMULICKIEGO Wiktora,10,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1591,GOMULICKIEGO Wiktora,13,osiedle domków robotniczych Fundacji dr Abegga ,985,,,,,
,1592,GOPLAŃSKA,20,dom,,,,,,
,1593,GOPLAŃSKA,20,budynek gospopdarczy,,,,,,
,1594,GOPLAŃSKA,28,dom,,,,,,
,1595,GOPLAŃSKA,30,dom,,,,,,
,1596,GOPLAŃSKA /d. Kiełpino Górne 31-32),34. (31-32) ,dwór z parkiem,841,,,,,
,1597,GOPLAŃSKA,38,dom,,,,,,
,1598,GOPLAŃSKA,40 A,dom,,,,,,
,1599,GOSZCZYŃSKIEGO Seweryna,5,dom,,,,,,
,1600,GOSZCZYŃSKIEGO Seweryna,12,dom,,,,,,
,1601,GOSZCZYŃSKIEGO Seweryna,13,dom,,,,,,
,1602,GOSZCZYŃSKIEGO Seweryna,15/17,dom,,,,,,
,1603,GOSZCZYŃSKIEGO Seweryna,19/21,dom,,,,,,
,1604,GOSZCZYŃSKIEGO Seweryna,23,dom,,,,,,
,1605,GOSZCZYŃSKIEGO Seweryna,25,dom,,,,,,
,1606,GOŚCINNA,1,dom,,,,,,
,1607,GOŚCINNA,2,"dom, usługi",,,,,,
,1608,GOŚCINNA,2 pod,,,,,,,
,1609,GOŚCINNA,4,ob. Szkoła muzyczna,,,,,,
,1610,GOŚCINNA,5,dom,,,,,,
,1611,GOŚCINNA,6,poczta,,,,,,
,1612,GOŚCINNA,10,dom z kuźnią,1027,,,,,
,1613,GOŚCINNA,12,dom,,,,,,
,1614,GOŚCINNA,13,dom,,,,,,
,1615,GOŚCINNA,14,dom,,,,,,
,1616,GOŚCINNA,15,"d. kosciół ewangelicki ob. N.Serca P.Jezusa,ob. Św. Jana Bosco",717,,,,,
,1617,GOŚCINNA,15,dom,,,,,,
,1618,GOŚCINNA,16,dom,,,,,,
,1619,GOŚCINNA,17,szkoła podstawowa nr 10,,,,,,
,1620,GOŚCINNA,18,dom,,,,,,
,1621,GOŚCINNA,21,dom,,,,,,
,1622,GÓRECKA,3,dom,,,,,,
,1623,GÓRECKIEGO ks. Mariana,4,dom,,,,,,
,1624,GÓRECKIEGO ks. Mariana,5,dom,,,,,,
,1625,GÓRECKIEGO ks. Mariana,6,dom,,,,,,
,1626,GÓRECKIEGO ks. Mariana,6 A,dom,,,,,,
,1627,GÓRECKIEGO ks. Mariana,7,dom,,,,,,
,1628,GÓRECKIEGO ks. Mariana,7 A,dom,,,,,,
,1629,GÓRECKIEGO ks. Mariana,8,dom,,,,,,
,1630,GÓRECKIEGO ks. Mariana,9,dom,,,,,,
,1631,GÓRECKIEGO ks. Mariana,10/10 A/10 B,dom,,,,,,
,1632,GÓRECKIEGO ks. Mariana,11,dom,,,,,,
,1633,GÓRECKIEGO ks. Mariana,12,dom,,,,,,
,1634,GÓRECKIEGO ks. Mariana,12,"dom, drugi budynek",,,,,,
,1635,GÓRECKIEGO ks. Mariana,13,dom,,,,,,
,1636,GÓRECKIEGO ks. Mariana,13 A,dom,,,,,,
,1637,GÓRECKIEGO ks. Mariana,14,dom,,,,,,
,1638,GÓRECKIEGO ks. Mariana,15,dom,,,,,,
,1639,GÓRECKIEGO ks. Mariana,16,dom,,,,,,
,1640,GÓRECKIEGO ks. Mariana,16,drugi budynek,,,,,,
,1641,GÓRECKIEGO ks. Mariana,18,"kosciół św. Jadwigi,  plebania, dom parafialny, budynek gosp.",1093,,,,,
,1642,GÓRKA,11,dom,,,,,,
,1643,GÓRKA,12 A,dom,,,,,,
,1644,GÓRKA,12 B,dom,,,,,,
,1645,GÓRKA,13 A,"dom, usługi",,,,,,
,1646,GÓRKA,13 B,2 budynek,,,,,,
,1647,GÓRKA,14,dom,,,,,,
,1648,GRABOWA,1,dom,,,,,,
,1649,GRABOWA,2,dom,,,,,,
,1650,GRABOWA,3,dom,,,,,,
,1651,GRABOWA,4,dom,,,,,,
,1652,GRABOWA,5/5A,dom,,,,,,
,1653,GRABOWA,6/6A,dom,,,,,,
,1654,GRABOWA,7,dom,,,,,,
,1655,GRABOWA,8,dom,,,,,,
,1656,GRABOWA,9,dom,,,,,,
,1657,GRABOWA,10,dom,,,,,,
,1658,GRAŻYNY,1, kamienica,,,,,,
,1659,GRAŻYNY,2, kamienica,,,,,,
,1660,GRAŻYNY,3, kamienica,,,,,,
,1661,GRAŻYNY,4, kamienica,,,,,,
,1662,GRAŻYNY,5, kamienica,,,,,,
,1663,GRAŻYNY,5, kamienica,,,,,,
,1664,GRAŻYNY,6, kamienica,,,,,,
,1665,GRAŻYNY,7, kamienica,,,,,,
,1666,GRAŻYNY,8, kamienica,,,,,,
,1667,GRAŻYNY,10, kamienica,,,,,,
,1668,GRAŻYNY,11, kamienica,,,,,,
,1669,GRAŻYNY,12, kamienica,,,,,,
,1670,GRAŻYNY,13, kamienica,,,,,,
,1671,GRAŻYNY,14, kamienica,,,,,,
,1672,GRAŻYNY,15, kamienica,,,,,,
,1673,GRAŻYNY,16, kamienica,,,,,,
,1674,GRAŻYNY,17, kamienica,,,,,,
,1675,GRAŻYNY,18, kamienica,,,,,,
,1676,GRAŻYNY,19, kamienica,,,,,,
,1677,GRAŻYNY,20, kamienica,,,,,,
,1678,GRAŻYNY,21,"kamienica, drugi budynek",,,,,,
,1679,GROBLA I,1 (1/2),dom,,,,,,
,1680,GROBLA I,3 (3/4),dom,,,,,,
,1681,GROBLA I,6 (5/7),dom,,,,,,
,1682,GROBLA I,7 (5/7),dom,,,,,,
,1683,GROBLA I,10 (8/11),dom mieszkalny-ob.Galeria Fotografii,,,,,,
,1684,GROBLA I,11 (8/11),kamienica,,,,,,
,1685,GROBLA I,12 (8/11),kamienica,,,,,,
,1686,GROBLA I,13A,kamienica,,,,,,
,1687,GROBLA I,13B,kamienica,,,,,,
,1688,GROBLA I,13C,kamienica,,,,,,
,1689,GROBLA I,13D,kamienica,,,,,,
,1690,GROBLA I,13E,kamienica,,,,,,
,1691,GROBLA I,13F,kamienica,,,,,,
,1692,GROBLA II,13 (12/14B),kamienica,,,,,,
,1693,GROBLA II,15 (12/14C),kamienica,,,,,,
,1694,GROBLA II,18 (12/14D),kamienica,,,,,,
,1695,GROBLA II,14 (12/14B),kamienica,,,,,,
,1696,GROBLA II,16 912/14C),kamienica,,,,,,
,1697,GROBLA II,17 (12/14D),kamienica,,,,,,
,1698,GROBLA III,9,kamienica,616,,,,,
,1699,GROBLA III,1 (1/6A),kamienica,,,,,,
,1700,GROBLA III,5 (1/6C),kamienica,,,,,,
,1701,GROBLA III,6 (1/6C),kamienica,,,,,,
,1702,GROBLA III,12/14,kamienica,,,,,,
,1703,GROBLA III,15/16,kamienica,,,,,,
,1704,GROBLA III,17/18,kamienica,,,,,,
,1705,GROBLA III,1/6A,kamienica,,,,,,
,1706,GROBLA III,1/6B,kamienica,,,,,,
,1707,GROBLA III,1/6B,kamienica,,,,,,
,1708,GROBLA III,1/6C,kamienica,,,,,,
,1709,GROBLA III,7 (1/6D),kamienica,,,,,,
,1710,GROBLA III,8 (1/6D róg),kamienica,,,,,,
,1711,GROBLA III,13 (12/14),kamienica,,,,,,
,1712,GROBLA III,17 (17/18),kamienica,,,,,,
,1713,GROBLA III,18 (17/18),kamienica,,,,,,
,1714,GROBLA III,9 (9/11),kamienica,,,,,,
,1715,GROBLA III,10 (9/11),kamienica,,,,,,
,1716,GROBLA III,11 (9/11),kamienica,,,,,,
,1717,GROBLA IV,1A,kamienica,,,,,,
,1718,GROBLA IV,1B,kamienica,,,,,,
,1719,GROBLA IV,1C,kamienica,,,,,,
,1720,GROBLA IV,2,kamienica,,,,,,
,1721,GROBLA IV,3,kamienica,,,,,,
,1722,GROBLA IV,8,kamienica,,,,,,
,1723,GROBLA IV,8,kamienica,,,,,,
,1724,GRODZA KAMIENNA,,"zespół  Śluzy Kamiennej / śluza, grodze kamienne, umocnienia ziemne przed śluzą/",495,,,,,
,1725,GRODZA KAMIENNA ,,"umocnienia, mury tzw. bramy kolejowej między ul. Mostową a Grodzą Kamienną",,,,,,
,1726,GRODZA KAMIENNA,2 C,dom,,,,,,
,1727,GRODZA KAMIENNA,2 D,dom,,,,,,
,1728,GRODZA KAMIENNA,2 F,dom,,,,,,
,1729,GRODZA KAMIENNA,2 H,dom,,,,,,
,1730,GRODZA KAMIENNA,2 I,dom,,,,,,
,1731,GRODZIEŃSKA,1/2,budynek mieszkalny,,,,,,
,1732,GRODZIEŃSKA,3/4,budynek mieszkalny,,,,,,
,1733,GRODZIEŃSKA,5/6,budynek mieszkalny,,,,,,
,1734,GRODZIEŃSKA,7/8,budynek mieszkalny,,,,,,
,1735,GRODZIEŃSKA,9/10,budynek mieszkalny,,,,,,
,1736,GRODZIEŃSKA,11/12,budynek mieszkalny,,,,,,
,1737,GRODZIEŃSKA,13/14,budynek mieszkalny,,,,,,
,1738,GRODZIEŃSKA,15/16,budynek mieszkalny,,,,,,
,1739,GRODZIEŃSKA,17/18,budynek mieszkalny,,,,,,
,1740,GRODZIEŃSKA,19/20,budynek mieszkalny,,,,,,
,1741,GRODZIEŃSKA,21/22,budynek mieszkalny,,,,,,
,1742,GRODZIEŃSKA,23/24,budynek mieszkalny,,,,,,
,1743,GRODZIEŃSKA,25/26,budynek mieszkalny,,,,,,
,1744,GRODZIEŃSKA,27/28,budynek mieszkalny,,,,,,
,1745,GRODZKA/ Wartka 8,9,dwa budynki z fragmentem muru obronnego,599,,,,,
,1746,GRODZKA,12,kamienica,691,,,,,
,1747,GRODZKA,13,kamienica,1695,,,,,
,1748,GRODZKA,14/15,kamienica,,,,,,
,1749,GRODZKA,16,spichlerz Pod Jeleniem,452,,,,,
,1750,GRODZKA,18,budynek,592,,,,,
,1751,GROTTGERA Artura,1,dom,,,,,,
,1752,GROTTGERA Artura,1 A,dom,,,,,,
,1753,GROTTGERA Artura,1B,dom,,,,,,
,1754,GROTTGERA Artura,01 D,dom bliźniczy z Żeromskiego 5,,,,,,
,1755,GROTTGERA Artura,2 A,dom,,,,,,
,1756,GROTTGERA Artura,3A,budynek mieszkalny,,,,,,
,1757,GROTTGERA Artura,4,budynek mieszkalny,,,,,,
,1758,GROTTGERA Artura,5,budynek mieszkalny,,,,,,
,1759,GROTTGERA Artura,8,budynek mieszkalny,,,,,,
,1760,GROTTGERA Artura,9,budynek mieszkalny,,,,,,
,1761,GROTTGERA Artura,11,budynek mieszkalny wraz z ogrodzeniem,,,,,,
,1762,GROTTGERA Artura,11A,budynek mieszkalny wraz z ogrodzeniem,,,,,,
,1763,GROTTGERA Artura,12,budynek mieszkalny,,,,,,
,1764,GROTTGERA Artura,13,budynek mieszkalny,,,,,,
,1765,GROTTGERA Artura,14,budynek mieszkalny,,,,,,
,1766,GROTTGERA Artura,21,budynek mieszkalny,,,,,,
,1767,GROTTGERA Artura,22,budynek mieszkalny,,,,,,
,1768,GROTTGERA Artura,24,budynek mieszkalny,,,,,,
,1769,GROTTGERA Artura,25,budynek mieszkalny,,,,,,
,1770,GROTTGERA Artura,26,budynek mieszkalny,,,,,,
,1771,GROTTGERA Artura,27,budynek mieszkalny,,,,,,
,1772,GROTTGERA Artura,28,budynek mieszkalny,,,,,,
,1773,GROTTGERA Artura,29,budynek mieszkalny,,,,,,
,1774,GROTTGERA Artura,31,budynek mieszkalny,,,,,,
,1775,GROTTGERA Artura,34,dom,,,,,,
,1776,GROTTGERA Artura,37,dom bliźniczy z Żeromskiego 4,,,,,,
,1777,GROTTGERA Artura,39,dom,,,,,,
,1778,GROTTGERA Artura,40,budynek mieszkalny,,,,,,
,1779,GROTTGERA Artura,41,dom,,,,,,
,1780,GROTTGERA Artura,42,dom,,,,,,
,1781,GROTTGERA Artura,43,dom,,,,,,
,1782,HIRSZFELDA Ludwika,2,dom,,,,,,
,1783,HIRSZFELDA Ludwika,4,dom,,,,,,
,1784,HIRSZFELDA Ludwika,6,dom,,,,,,
,1785,HIRSZFELDA Ludwika,8,dom,,,,,,
,1786,HIRSZFELDA Ludwika,6/8,dom,,,,,,
,1787,HIRSZFELDA Ludwika,14,dom,,,,,,
,1788,HIRSZFELDA Ludwika,16,dom,,,,,,
,1789,HOENE-WROŃSKIEGO Józefa,3,"dom,",,,,,,
,1790,HOENE-WROŃSKIEGO Józefa,4,Regionalne Centrum Krwiodawstwa,,,,,,
,1791,HOENE-WROŃSKIEGO Józefa,5,dom,,,,,,
,1792,HOENE-WROŃSKIEGO Józefa,5 A/B,d.dom - ob. Woj. Stacja Sanitarno-Epidemiologiczna - laboratoria,,,,,,
,1793,HOENE-WROŃSKIEGO Józefa,7,willa,,,,,,
,1794,HOENE-WROŃSKIEGO Józefa,6,willa,,,,,,
,1795,HOENE-WROŃSKIEGO Józefa,8,dom,,,,,,
,1796,HOENE-WROŃSKIEGO Józefa,10,willa,,,,,,
,1797,HOENE-WROŃSKIEGO Józefa,12,willa,,,,,,
,1798,HOŁDU PRUSKIEGO,1,willa,,,,,,
,1799,HOŁDU PRUSKIEGO,2,dom,,,,,,
,1800,HOŁDU PRUSKIEGO,4,willa,,,,,,
,1801,HOŁDU PRUSKIEGO,5,willa,,,,,,
,1802,HOŁDU PRUSKIEGO,6,willa,,,,,,
,1803,HOŁDU PRUSKIEGO,7,willa,,,,,,
,1804,HOŁDU PRUSKIEGO,8,willa,,,,,,
,1805,HOŁDU PRUSKIEGO,9,willa,,,,,,
,1806,HOŁDU PRUSKIEGO,10,willa,,,,,,
,1807,HOŁDU PRUSKIEGO,11,"willa, drugi budynek w głębi",,,,,,
,1808,HUBALA mjr.,1,dom,,,,,,
,1809,HUBALA mjr.,2,dom,,,,,,
,1810,HUBALA mjr.,3,dom,,,,,,
,1811,HUSA Jana,04,dom,,,,,,
,1812,HUSA Jana,05,dom-w zespole osiedla,,,,,,
,1813,HUSA Jana,06,dom-w zespole osiedla,,,,,,
,1814,HUSA Jana,07,dom-w zespole osiedla,,,,,,
,1815,HUSA Jana,08,dom-w zespole osiedla,,,,,,
,1816,HUSA Jana,09,dom-w zespole osiedla,,,,,,
,1817,HUSA Jana,10,dom-w zespole osiedla,,,,,,
,1818,HUSA Jana,11,dom-w zespole osiedla,,,,,,
,1819,HUSA Jana,12,dom-w zespole osiedla,,,,,,
,1820,HUSA Jana,13,dom-w zespole osiedla,,,,,,
,1821,HUSA Jana,14,dom-w zespole osiedla,,,,,,
,1822,HUSA Jana,15,dom-w zespole osiedla,,,,,,
,1823,HUSA Jana,16,dom-w zespole osiedla,,,,,,
,1824,HUSA Jana,17,dom-w zespole osiedla,,,,,,
,1825,HUSA Jana,18,dom,,,,,,
,1826,HUSA Jana,19,dom,,,,,,
,1827,IŁOWA,1,dom,,,,,,
,1828,IŁOWA,2,dom,,,,,,
,1829,INSPEKTORSKA,9,dom,1065,,,,,
,1830,JABŁONIOWA,47,zespół dworsko-parkowy,,,,,,
,1831,JABŁONIOWA,47,d. obora,,,,,,
,1832,JANA Z KOLNA,07,dom,,,,,,
,1833,JANA Z KOLNA,08,"dom, usługi",,,,,,
,1834,JANA Z KOLNA,09,dom,,,,,,
,1835,JANA Z KOLNA,10,dom,,,,,,
,1836,JANA Z KOLNA,26,budynek mieszkalny,,,,,,
,1837,JANA Z KOLNA,27,budynek,,,,,,
,1838,JANA Z KOLNA,28,budynek,,,,,,
,1839,JANA Z KOLNA,29,budynek,,,,,,
,1840,JANA Z KOLNA,30,budynek,,,,,,
,1841,JANTAROWA,4,dom,,,,,,
,1842,JANTAROWA,4 A,dom,,,,,,
,1843,JARACZA Stefana,12 A,dom,,,,,,
,1844,JARACZA Stefana,12 B,dom,,,,,,
,1845,JARACZA Stefana,13 A,dom,,,,,,
,1846,JARACZA Stefana,13 B,dom,,,,,,
,1847,JAROWA,1,dom,,,,,,
,1848,JASKÓŁCZA,1,"zespół Łaźni Miejskiej: budynek łaźni, budynek pomocniczy, ogrodzenie",1607,,,,,
,1849,JASNA,2,dom,,,,,,
,1850,JASNA,3/5/7,dom,,,,,,
,1851,JASNA,9,dom,,,,,,
,1852,JASNA,4,dom,,,,,,
,1853,JASTRZĘBIA,2,dom,,,,,,
,1854,JAŚKOWA DOLINA,,"zespół zabudowy ulicy (zabudowa willowa wraz z ogrodami oraz zabudowa czynszowa ulic: Jaśkowa Dolina, Pawłowskiego, Romera, Akacjowa, Na Wzgórzu",970,,,,,
,1855,JAŚKOWA DOLINA,4,"dom, biura",,,,,,
,1856,JAŚKOWA DOLINA,6,"dom, biura",,,,,,
,1857,JAŚKOWA DOLINA,7,dom mieszkalny-ob.przych.lekarska,,,,,,
,1858,JAŚKOWA DOLINA,8,dom,,,,,,
,1859,JAŚKOWA DOLINA,9,dom,,,,,,
,1860,JAŚKOWA DOLINA,10,dom,,,,,,
,1861,JAŚKOWA DOLINA,"11A,B,C",dom,,,,,,
,1862,JAŚKOWA DOLINA,12,dom mieszkalny-wiila - ob.przedszkole,,,,,,
,1863,JAŚKOWA DOLINA,14,"budynek d.kina ""Bajka'",,,,,,
,1864,JAŚKOWA DOLINA,15,dom mieszkalny -willa-ob.Inst.Łącznośći - mieszkal. biblioteka,,,,,,
,1865,JAŚKOWA DOLINA,16,"dom, usługi",,,,,,
,1866,JAŚKOWA DOLINA,17,zespół dworsko-parkowy,990,,,,,
,1867,JAŚKOWA DOLINA,19,willa,1574,,,,,
,1868,JAŚKOWA DOLINA,23,willa,,,,,,
,1869,JAŚKOWA DOLINA,24,dom,,,,,,
,1870,JAŚKOWA DOLINA,31,willa -ob.PAN -Oddz.Gdańsk,962,,,,,
,1871,JAŚKOWA DOLINA,33,dom,,,,,,
,1872,JAŚKOWA DOLINA,36,dom,,,,,,
,1873,JAŚKOWA DOLINA,37,dom,1448,,,,,
,1874,JAŚKOWA DOLINA,38,dom,,,,,,
,1875,JAŚKOWA DOLINA,39,dom mieszkalny;zabud.gosp,,,,,,
,1876,JAŚKOWA DOLINA,40,dom,,,,,,
,1877,JAŚKOWA DOLINA,42,willa,,,,,,
,1878,JAŚKOWA DOLINA,44,willa-ob.przedszkole,1572,,,,,
,1879,JAŚKOWA DOLINA,45,willa,1775,,,,,
,1880,JAŚKOWA DOLINA,47,dom,,,,,,
,1881,JAŚKOWA DOLINA,47,dom,,,,,,
,1882,JAŚKOWA DOLINA,48,willa,,,,,,
